0 0 1 0 0 0
0 1 1 0 0 1
0 2 1 0 0 2
0 3 1 0 0 3
0 4 1 0 0 4
0 5 1 0 0 5
0 6 1 0 0 6
0 7 1 0 0 7
0 8 1 0 0 8
0 9 1 0 0 9
0 10 1 0 0 10
0 11 1 0 0 11
0 12 1 0 0 12
0 13 1 0 0 13
0 14 1 0 0 14
0 15 1 0 0 15
0 16 1 0 0 16
0 17 1 0 0 17
0 18 1 0 0 18
0 19 1 0 0 19
0 20 1 0 0 20
0 21 1 0 0 21
0 22 1 0 0 22
0 23 1 0 0 23
0 24 1 0 0 24
0 25 0 0 0 25
0 26 0 0 0 26
0 27 0 0 0 27
0 28 0 0 0 28
0 29 0 0 0 29
0 30 0 0 0 30
0 31 0 0 0 31
0 32 0 0 0 32
0 33 0 0 0 33
0 34 0 0 0 34
0 35 0 0 0 35
0 36 0 0 0 36
0 37 0 0 0 37
0 38 0 0 0 38
0 39 0 0 0 39
0 40 0 0 0 40
0 41 0 0 0 41
0 42 0 0 0 42
0 43 0 0 0 43
0 44 0 0 0 44
0 45 0 0 0 45
0 46 0 0 0 46
0 47 0 0 0 47
0 48 0 0 0 48
0 49 0 0 0 49
1 0 0 3 1 49
1 1 0 4 1 0
1 2 0 4733 1 1
1 3 0 4720 2 3
1 4 0 4694 2 4
1 5 0 43 2 5
1 6 0 115 1 7
1 7 0 114 2 7
1 8 0 111 1 9
1 9 0 110 2 9
1 10 0 99 1 11
1 11 0 98 1 12
1 12 0 97 2 12
1 13 0 142 1 12
1 14 0 143 1 13
1 15 0 145 1 14
1 16 0 385 1 17
1 17 0 384 2 17
1 18 0 371 1 19
1 19 0 259 2 19
1 20 0 262 1 19
1 21 0 263 1 20
1 22 0 270 1 21
1 23 0 361 2 23
1 24 0 363 1 23
1 25 0 4888 0 25
1 26 0 3966 1 27
1 27 0 3964 1 28
1 28 0 3960 2 28
1 29 0 3968 1 28
1 30 0 3972 2 30
1 31 0 3976 1 30
1 32 0 3991 1 31
1 33 0 4023 2 33
1 34 0 4024 2 34
1 35 0 4026 1 34
1 36 0 4027 1 35
1 37 0 4031 1 36
1 38 0 4042 1 37
1 39 0 4049 2 39
1 40 0 4051 1 39
1 41 0 4834 0 41
1 42 0 4784 2 42
1 43 0 4788 2 43
1 44 0 4791 1 43
1 45 0 4749 0 45
1 46 0 4748 0 46
1 47 0 4744 1 48
1 48 0 2 1 49
1 49 0 0 0 49
2 0 0 6 2 1
2 1 0 5 1 1
2 2 0 36 3 2
2 3 0 4699 2 4
2 4 0 40 3 4
2 5 0 41 2 4
2 6 0 47 3 6
2 7 0 113 2 8
2 8 0 112 1 8
2 9 0 109 2 10
2 10 0 100 1 10
