x,y,label,time,motherx,mothery
4,29,1,571,4,28
4,30,1,641,4,29
4,31,1,715,4,30
4,32,1,793,4,31
4,33,1,875,4,32
4,34,1,961,4,33
4,35,1,1051,4,34
4,36,1,1145,4,35
4,37,1,1243,4,36
4,38,1,1343,4,37
4,39,1,1439,4,38
4,40,1,1530,4,39
4,41,1,1595,4,42
4,42,1,1506,4,43
4,43,1,1413,4,44
4,44,1,1316,4,45
4,45,1,1217,4,46
4,46,1,1120,4,47
4,47,1,1027,4,48
4,48,1,938,4,49
4,49,1,853,4,0
5,0,1,852,5,1
5,1,1,771,5,2
5,2,1,694,5,3
5,3,1,621,5,4
5,4,1,552,5,5
5,5,1,487,5,6
5,6,1,426,5,7
5,7,1,369,5,8
5,8,1,316,5,9
5,9,1,267,5,10
5,10,1,222,5,11
5,11,1,181,5,12
5,12,1,144,4,12
5,13,1,116,4,13
5,14,1,88,4,14
5,15,1,64,4,15
5,16,1,45,4,16
5,17,1,66,4,17
5,18,1,90,4,18
5,19,1,119,5,18
5,20,1,152,5,19
5,21,1,189,5,20
5,22,1,230,5,21
5,23,1,276,5,22
5,24,1,326,5,23
5,25,1,380,5,24
5,26,1,438,5,25
5,27,1,500,5,26
5,28,1,566,5,27
5,29,1,636,5,28
5,30,1,710,5,29
5,31,1,788,5,30
5,32,1,870,5,31
5,33,1,956,5,32
5,34,1,1046,5,33
5,35,1,1140,5,34
5,36,1,1238,5,35
5,37,1,1338,5,36
5,38,1,1434,5,37
5,39,1,1526,5,38
5,40,1,1614,5,39
5,41,1,1678,5,42
5,42,1,1594,5,43
5,43,1,1505,5,44
5,44,1,1412,5,45
5,45,1,1315,5,46
5,46,1,1216,5,47
5,47,1,1119,5,48
5,48,1,1026,5,49
5,49,1,937,5,0
6,0,1,936,6,1
6,1,1,851,6,2
6,2,1,770,6,3
6,3,1,693,6,4
6,4,1,620,6,5
6,5,1,551,6,6
6,6,1,486,6,7
6,7,1,425,6,8
6,8,1,368,6,9
6,9,1,315,6,10
6,10,1,266,6,11
6,11,1,221,6,12
6,12,1,180,5,12
6,13,1,149,5,13
6,14,1,117,5,14
6,15,1,89,5,15
6,16,1,67,5,16
6,17,1,92,5,17
6,18,1,120,5,18
6,19,1,153,5,19
6,20,1,190,5,20
6,21,1,231,5,21
6,22,1,275,5,22
6,23,1,325,6,22
6,24,1,379,6,23
6,25,1,437,6,24
6,26,1,499,6,25
6,27,1,565,6,26
6,28,1,635,6,27
6,29,1,709,6,28
6,30,1,787,6,29
6,31,1,869,6,30
6,32,1,955,6,31
6,33,1,1045,6,32
6,34,1,1139,6,33
6,35,1,1237,6,34
6,36,1,1337,6,35
6,37,1,1433,6,36
6,38,1,1525,6,37
6,39,1,1613,6,38
6,40,1,1697,6,39
6,41,1,1757,6,42
6,42,1,1677,6,43
6,43,1,1593,6,44
6,44,1,1504,6,45
6,45,1,1411,6,46
6,46,1,1314,6,47
6,47,1,1215,6,48
6,48,1,1118,6,49
